Résumé,Clé de ticket,Type de ticket,État,Priorité,Rapporteur,Durée(mn),Création,Description,Champs personnalisés (Action menée),Canal,Entreprise,Utilisateur,Objet principal,Champs personnalisés (Module)
Assistance - Explication en ligne - Comptable,OBCS-4411,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:12,Relancer sur le traitement bug lié au stock,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4410,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:12,Comment lier le compte analytique à l'enregistrement de la facture achat,Explication en ligne,Appel Téléphonique,ARIC,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4409,Assistance,Terminé,,JOEL SIE,7,19/juin/24 11:12,Assistance sur l'enregistrement de facture achat,Explication en ligne,Appel Téléphonique,ARIC,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4408,Assistance,Terminé,,JOEL SIE,17,19/juin/24 11:12,Enregistrement et programmation d'impots et taxes,Explication en ligne,Appel Téléphonique,VENUS DISTRIBUTION,,Assistance,
Assistance - Explication en ligne - Caissier(ère),OBCS-4407,Assistance,Terminé,,JOEL SIE,6,19/juin/24 11:12,Assistance sur création du compte client,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4406,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:12,La nature de prestation liée à la catégorie Investissement ne se deverse pas à l'enregistrement de la facture achat,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4405,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:12,Impossible d'enregistrer une nature de prestation existante sur une autre entité,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4404,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:12,La base de la prime d'ancienneté erronée,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Redirection vers ressources OBC - Directeur Administratif et Financier,OBCS-4403,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:12,Relance pour la requete sur l'onglet timbre à l'encaissement du client,Redirection vers ressources OBC,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4402,Assistance,Terminé,,JOEL SIE,26,19/juin/24 11:12,Assistance l'enregistrement des impots et taxes puis la programation des imots et taxes,Explication en ligne,Appel Téléphonique,VENUS DISTRIBUTION,,Assistance,
Autres - Autres (Précisez dans la description) - Comptable,OBCS-4401,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:12,Déplacer la formation des RH,Autres (Précisez dans la description),Appel Téléphonique,SIT BTP,,Autres,
Autres - Autres (Précisez dans la description) - Comptable,OBCS-4400,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:12,Demander la localisation du site sit btp,Autres (Précisez dans la description),Appel Téléphonique,SIT BTP,,Autres,
Planning Séance de travail - Autres (Précisez dans la description) - Comptable,OBCS-4399,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:12,Confirmer le redez-vous avec leur DG - Confirmation de la séance avec leur DG et toute l'equipe projet pour présenter le point de parametrage et valider le calendrier des formations,Autres (Précisez dans la description),Appel Téléphonique,SIT BTP,,Planning Séance de travail,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4347,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:11,Certains impots liés à la paie ne se déverses pas,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Autres (Précisez dans la description) - Comptable,OBCS-4346,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:11,"Faire la proposition sur l'importation des données comptable 2021, 2022 et 2023",Autres (Précisez dans la description),Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4303,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:11,Enregistrement des encaissements clients,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4302,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:11,Prise de rendez-vous,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Assistant(e) / Stagiaire,OBCS-4301,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:11,Comment sélectionner le magasin et l'emplacement lors de l'enregistrement d'une demande de sortie,Explication en ligne,Appel Téléphonique,NOAH,,Assistance,
Assistance - Explication en ligne - Gestionnaire de stock,OBCS-4300,Assistance,Terminé,,JOEL SIE,4,19/juin/24 11:11,Assistance pour l'enregistrement des demandes de sorties,Explication en ligne,Appel Téléphonique,NOAH,,Assistance,
Assistance - Explication en ligne - Gestionnaire de stock,OBCS-4299,Assistance,Terminé,,JOEL SIE,7,19/juin/24 11:11,Assistance pour l'enregistrement d'un borderau de stock,Explication en ligne,Appel Téléphonique,NOAH,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4296,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:11,Un bug au niveau des numéros d'imputations (Des numéros d'imputation différents pour une même facture),Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4295,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:11,Assistance sur facture vente,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4257,Assistance,Terminé,,JOEL SIE,6,19/juin/24 11:10,Simulation salaire,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4256,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:10,Assistance sur paie,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4255,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:10,Importation des journaux,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Autres - Autres (Précisez dans la description) - Directeur Général,OBCS-4254,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:10,Faire le point d'utilisation des comptables - Après visite des comptables appeler le DG,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Autres,
Assistance - Explication en ligne - Comptable,OBCS-4252,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:10,explication de certainnes feuille du fichier recueil de donné,Explication en ligne,Appel Téléphonique,SIT BTP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4250,Assistance,Terminé,,JOEL SIE,21,19/juin/24 11:10,Création compte client et enregistrement facture vente,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4249,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:10,Une retenue deduite en motant double,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4248,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:10,Confirmer le rendez-vous pour la présentation des états financiers,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4247,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:10,Une retenue n'est ne se déduit pas au lencement de la paie,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4244,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:10,Les éléments variable ne s'affichent,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4241,Assistance,Terminé,,JOEL SIE,9,19/juin/24 11:10,Relance sur les requetes et bug stock,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4240,Assistance,Terminé,,JOEL SIE,4,19/juin/24 11:10,Importation des journaux,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4202,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:09,Prendre les nouvelles du compte,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4197,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:09,Des rubriques non prises en compte dans le calcul de la paie,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4195,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:09,Planifier un rendez-vous en présentiel,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Directeur Général,OBCS-4194,Assistance,Terminé,,JOEL SIE,4,19/juin/24 11:09,Création de compte administratif,Explication en ligne,Appel Téléphonique,SIT BTP,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4193,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:09,Assistance calcul de salaire nouvelle reforme,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4192,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:09,Message d'erreur calcul sur salaire,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4191,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:09,Message d'erreur sur calcul de salaire,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4190,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:09,La base de la prime d'ancieneté,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4162,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:09,Simulation liée à la nouvelle reforme,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4134,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:08,Expliquer le dashboard des sorties de stock sur les projet,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4127,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:08,Solde fournisseur tiers différent fournisseur balance générale,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4123,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:08,Informer sur la mise à jour effective de la nouvelle reforme ITS,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4120,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:08,Confirmation du RDV,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4116,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:08,Informer sur le paramétrage de la nouvelle reforme,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4113,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:08,Confirmer le rdv pour le traitement de la balance,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4108,Assistance,Terminé,,JOEL SIE,6,19/juin/24 11:08,Assistance sur gratification non prise en compte dans base fiscale et base sociale,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4105,Assistance,Terminé,,JOEL SIE,10,19/juin/24 11:08,Assistance pour lancement de la paie de Décembre,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4104,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:08,Informer sur la resolution du bug sur la paie,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4103,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:08,Relance sur la paie Décembre,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4102,Assistance,Terminé,,JOEL SIE,8,19/juin/24 11:08,Revoir les rubriques de la paie,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4101,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:08,Relance message d'erreur,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4100,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:08,Message d'erreur sur la paie,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4079,Assistance,Terminé,,JOEL SIE,4,19/juin/24 11:07,Fichier recueil de donné,Explication en ligne,Appel Téléphonique,SIT BTP,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4031,Assistance,Terminé,,JOEL SIE,1,19/juin/24 11:07,message d'erreur sur enregistrement opération de caisse,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4030,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:07,Demande de congés,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4009,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:06,Des factures programmées qui ne se deverses pas en paiement,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4007,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:06,Des projets qui ne s'affichent pas dus à la date de fin,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-4001,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:06,Relancer sur l'utilisation OBC et prendre un rendez-vous,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-4000,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:06,Informer sur l'importation du journal paie,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3999,Assistance,Terminé,,JOEL SIE,4,19/juin/24 11:06,Assistance pour importation des écritures OD,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3998,Assistance,Terminé,,JOEL SIE,1,19/juin/24 11:06,Informer sur la résolution du bug validation de bordereau de sortir,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3997,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:06,Relance sur requete liée à la validation de la demande de sortie de stock,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3957,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:06,Vérifier le paramétrage des codes journaux,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3955,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:06,Facture programmée ne se deversant pas au paiement,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Relance sur Bug en cours - Explication en ligne - Gestionnaire de Stock,OBCS-3954,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:06,Rélance sur le méssage d'erreur à la validation d'un bordereau de sortie,Explication en ligne,Appel Téléphonique,SIS,,Relance sur Bug en cours,
Assistance - Explication en ligne - Comptable,OBCS-3953,Assistance,Terminé,,JOEL SIE,22,19/juin/24 11:06,"Création de nature de catégorie et nature de prestation, vérification des écritures générées dans l'historique d'imputation, le journal",Explication en ligne,Appel Téléphonique,ARIC,,Assistance,
Assistance - Explication en ligne - Caissier(ère),OBCS-3936,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:05,Création du calendrier des mois,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3935,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:05,Suppression d'une écriture,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3934,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:05,Création de calendrier des mois,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3933,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:05,Assistance sur l'enregidtrement d'un chèque,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3930,Assistance,Terminé,,JOEL SIE,1,19/juin/24 11:05,Assistance sur la reprise du calcul avec de la paie de Décembre avec gratification,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3929,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:05,Assistance sur le solde caisse comparé au solde de la balance caisse,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3870,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:04,Assistance sur le calcul d'heures supplementaires,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3869,Assistance,Terminé,,JOEL SIE,4,19/juin/24 11:04,Information les familles et sous famille des articles,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3868,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:04,INFORMER SUR LA RESOLUTION D'UNE REQUETE SUR LA RETENUE SUR AVANCE,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-3828,Assistance,Terminé,,JOEL SIE,1,19/juin/24 11:04,Le client relance sur ses requête en cours,Explication en ligne,Appel Téléphonique,FALCON,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3759,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:03,Assistance sur article du stock,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3758,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:03,Calcul de la gratification,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3757,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:03,Importation de journal paie,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3755,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:03,Filtre sur le grand livre,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3749,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:02,Le client nous a signalé que sa balance comptable n'apparait pas.,Explication en ligne,Appel Téléphonique,FALCON,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3737,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:02,Al'enregistrement de la facture d'acquisition d'immobilisation se deverse automatiquement dans le fichier d'immobilisation,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Autres (Précisez dans la description) - Directeur Administratif et Financier,OBCS-3736,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:02,Relance sur la paie du Cameroun - Prévoir une séance en ligne pour le Lundi 11/12/2023,Autres (Précisez dans la description),Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3700,Assistance,Terminé,,JOEL SIE,4,19/juin/24 11:02,RAN DESEQUILIBRE,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3630,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:01,Assistance sur le calcule de la paie de novembre 2023,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3629,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:01,Rediriger sur le manuel d'utilisation pour les encaissement,Explication en ligne,Appel Téléphonique,AFRIC URBA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3628,Assistance,Terminé,,JOEL SIE,2,19/juin/24 11:01,Création des accès,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3605,Assistance,Terminé,,JOEL SIE,3,19/juin/24 11:00,Enregistrement d'un contrat,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Assistant(e) RH,OBCS-3573,Assistance,Terminé,,JOEL SIE,4,19/juin/24 11:00,Comment faire le repport à nouveau,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3563,Assistance,Terminé,,JOEL SIE,5,19/juin/24 11:00,Assistance sur la paie de Décembre,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3562,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:59,Demande d'information pour l'import du journal achat,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3552,Assistance,Terminé,,JOEL SIE,12,19/juin/24 10:59,Un compte général ne s'affiche pas sur la balance générale,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3520,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:59,Enregistrement de 2 nouveaux employés,Explication en ligne,Appel Téléphonique,LABOGEM,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3518,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:59,Informatio sur le nouveau mode de calcul du salaire,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3517,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:59,Le grand livre qui affiche ''aucune donnée disponible'' sur le mois de Juillet et Septembre.,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Autres - Autres (Précisez dans la description) - Comptable,OBCS-3515,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:59,Suivi du compte - Suivi du comptable,Autres (Précisez dans la description),Appel Téléphonique,AFRIC URBA,,Autres,
Assistance - Explication en ligne - Comptable,OBCS-3508,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:59,Ecritures manneulles sélectionner une compte tiers lié au compte général,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Autres - Explication en ligne - Comptable,OBCS-3480,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:58,Faire un point sur le traitement des requetes,Explication en ligne,Appel Téléphonique,SIS,,Autres,
Assistance - Explication en ligne - Comptable,OBCS-3376,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:57,Assistance sur des projets qui ne se deversement pas,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3375,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:57,Opération interco de la banque,Explication en ligne,Appel Téléphonique,EJARA,,Assistance,
Assistance - Explication en ligne - Directeur Administratif et Financier,OBCS-3374,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:57,Exporter le fichier du personnel,Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Relance sur Requête en cours - Redirection vers ressources OBC - Directeur Administratif et Financier,OBCS-3369,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:57,Plafond de la prime d'ancienneté non prise en compte dans le calcul de la paie,Redirection vers ressources OBC,Appel Téléphonique,EDIPRESSE,,Relance sur Requête en cours,
Autres - Autres (Précisez dans la description) - Comptable,OBCS-3366,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:57,Relance pour la mise à jour des contrats - Des contrats à revoir par la RH et me revenir un nouveau lancement de la paie,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,,Autres,
Autres - Autres (Précisez dans la description) - Comptable,OBCS-3365,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:57,Relance sur la disponibilité des données comptable et des articles du stock - L'historique de la comptabilité et du stock toujours en cours de constitution,Autres (Précisez dans la description),Appel Téléphonique,EDIPRESSE,,Autres,
Assistance - Explication en ligne - Assistant(e) / Stagiaire,OBCS-3364,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:57,Message d'erreur à l'enregistrement de devis,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Autres (Précisez dans la description) - Autres,OBCS-3335,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:56,Relance sur la mise à jour de leur base OBC,Autres (Précisez dans la description),Appel Téléphonique,ITC,,Assistance,
Assistance - Explication en ligne - Responsable des marchés,OBCS-3332,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:56,Assistance pour la création d'untité pour le dévis,Explication en ligne,Appel Téléphonique,ELIO GROUP,,Assistance,
Assistance - Autres (Précisez dans la description) - Directeur Administratif et Financier,OBCS-3310,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:56,Demande de suppression des écritures dans le grand livre,Autres (Précisez dans la description),Appel Téléphonique,EJARA,,Assistance,
Autres - Autres (Précisez dans la description) - Chef de Projet,OBCS-3309,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:56,Relance pour la séance en ligne sur le module projet (Vebdredi),Autres (Précisez dans la description),Appel Téléphonique,AFRIC URBA,,Autres,
Assistance - Explication en ligne - Comptable,OBCS-3308,Assistance,Terminé,,JOEL SIE,2,19/juin/24 10:56,Relance pour l'historique de la comptabilité et du stock (Vendredi),Explication en ligne,Appel Téléphonique,EDIPRESSE,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3307,Assistance,Terminé,,JOEL SIE,5,19/juin/24 10:56,Une erreur constaté à l'enregistrement des postes comptable tiers (Vendredi),Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Assistance - Explication en ligne - Directeur des Ressources Humaines,OBCS-3306,Assistance,Terminé,,JOEL SIE,6,19/juin/24 10:56,Assistance pour resoudre un message d'erreur au lancement de la paie,Explication en ligne,Appel Téléphonique,KORI TRANSPORT,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3305,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:56,Demander le jounal de paie version excel de leur ancienne base,Explication en ligne,Appel Téléphonique,HC CAPITAL PROPERTIES,,Assistance,
Assistance - Explication en ligne - Comptable,OBCS-3271,Assistance,Terminé,,JOEL SIE,4,19/juin/24 10:55,Résolution de la requète sur avance,Explication en ligne,Appel Téléphonique,SIS,,Assistance,
Autres - Autres (Précisez dans la description) - Autres,OBCS-3270,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:55,Suivi du compte,Autres (Précisez dans la description),Appel Téléphonique,ITC,,Autres,
Assistance - Autres (Précisez dans la description) - Comptable,OBCS-3269,Assistance,Terminé,,JOEL SIE,3,19/juin/24 10:55,Relance pour la disponibilité de l'historique comptable et les articles de stock,Autres (Précisez dans la description),Appel Téléphonique,EDIPRESSE,,Assistance,
